IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
152.53.146.253,152.53.146.253,8443,1.32,DE,FRA,170.91,189.29
152.53.228.252,152.53.228.252,443,1.32,DE,FRA,176.25,197.81
104.248.17.101,104.248.17.101,443,1.31,DE,FRA,167.14,181.88
152.53.139.243,152.53.139.243,443,1.31,DE,FRA,176.49,204.15
49.13.64.206,49.13.64.206,443,1.3,DE,FRA,161.96,191.19
77.90.33.189,77.90.33.189,443,1.3,DE,FRA,162.16,183.24
138.124.24.229,138.124.24.229,443,1.29,DE,ARN,193.57,288.4
89.168.110.240,89.168.110.240,443,1.29,DE,FRA,159.94,182.58
152.53.137.149,152.53.137.149,443,1.29,DE,FRA,176.05,197.42
89.58.15.204,89.58.15.204,443,1.28,DE,FRA,175.41,185.89
88.99.92.84,88.99.92.84,443,1.28,DE,FRA,161.07,182.4
152.53.137.149,152.53.137.149,8443,1.28,DE,FRA,176.94,189.12
185.209.82.152,185.209.82.152,443,1.27,DE,FRA,159.99,168.54
217.144.189.83,217.144.189.83,443,1.27,DE,FRA,175.44,205.86
152.53.178.240,152.53.178.240,443,1.27,DE,FRA,171.58,184.06
88.99.189.60,88.99.189.60,443,1.26,DE,FRA,160.31,183.61
152.53.227.156,152.53.227.156,443,1.26,DE,FRA,169.87,195.36
152.53.178.240,152.53.178.240,8443,1.26,DE,FRA,173.25,190.84
164.92.178.103,164.92.178.103,443,1.25,DE,FRA,162.44,173.54
88.198.82.148,178.63.88.12,443,1.25,DE,FRA,170.8,174.01
91.199.118.151,91.199.118.151,443,1.24,DE,FRA,162.47,185.33
81.200.155.118,81.200.155.118,443,1.24,DE,AMS,164.41,372.9
152.53.141.9,152.53.141.9,8443,1.23,DE,FRA,175.11,191.29
162.19.247.245,162.19.247.245,443,1.23,DE,FRA,174.32,173.04
77.221.155.117,77.221.155.117,443,1.23,DE,FRA,187.69,205.54
89.58.45.162,89.58.45.162,8443,1.22,DE,FRA,173.23,186.21
91.107.158.77,91.107.158.77,8443,1.21,DE,FRA,165.39,181.29
164.92.253.242,164.92.253.242,443,1.21,DE,FRA,177.71,164.29
37.221.196.43,37.221.196.43,8443,1.21,DE,FRA,171.65,189.29
152.53.248.176,152.53.248.176,443,1.2,DE,FRA,173.12,181.11
37.221.196.43,37.221.196.43,443,1.2,DE,FRA,170.8,190.88
83.219.249.108,83.219.249.108,2087,1.2,DE,FRA,166.18,172.87
89.125.73.168,89.125.73.168,443,1.18,DE,FRA,154.52,160.63
152.53.177.55,152.53.177.55,443,1.18,DE,FRA,179.05,184.17
89.58.32.86,89.58.32.86,443,1.17,DE,FRA,174.23,197.11
152.53.139.243,152.53.139.243,8443,1.17,DE,FRA,174.74,191.44
152.53.177.55,152.53.177.55,8443,1.16,DE,FRA,185.38,181.01
152.53.224.62,152.53.224.62,443,1.16,DE,FRA,171.75,222.0
152.53.228.252,152.53.228.252,8443,1.16,DE,FRA,174.3,201.53
91.186.212.31,91.186.212.31,443,1.15,DE,MXP,201.53,331.25
152.53.120.168,152.53.120.168,443,1.14,DE,FRA,170.45,186.12
37.120.190.141,37.120.190.141,443,1.14,DE,HAM,172.13,209.71
91.186.217.49,91.186.217.49,443,1.13,DE,ARN,194.01,275.25
2.26.17.154,2.26.17.154,443,1.13,DE,FRA,176.83,203.89
89.58.12.232,89.58.12.232,8443,1.11,DE,FRA,172.57,198.91
94.16.113.94,94.16.113.94,443,1.11,DE,FRA,171.47,181.33
188.245.102.244,188.245.102.244,443,1.09,DE,FRA,161.61,176.46
91.199.118.151,91.199.118.151,8443,1.08,DE,FRA,165.04,202.78
38.180.165.83,38.180.165.83,443,1.06,DE,FRA,154.28,192.8
185.125.100.192,185.125.100.192,443,1.06,DE,FRA,171.89,200.08
152.53.227.239,152.53.227.239,8443,1.05,DE,FRA,176.18,193.13
152.53.137.35,152.53.137.35,8443,1.02,DE,FRA,169.52,193.57
64.188.83.202,64.188.83.202,443,1.01,DE,FRA,172.05,184.71
37.221.196.59,37.221.196.59,443,1.01,DE,FRA,173.03,187.99
152.53.225.145,152.53.225.145,8443,1.01,DE,FRA,179.01,195.42
89.58.13.3,89.58.13.3,443,1.0,DE,FRA,170.45,184.43
89.58.15.204,89.58.15.204,8443,1.0,DE,FRA,174.89,182.92
38.244.137.183,38.244.137.183,443,3.39,FI,ARN,161.99,260.73
46.8.64.228,46.8.64.228,443,2.87,FI,ARN,165.33,220.78
185.200.190.148,185.200.190.148,443,2.81,FI,TLL,171.07,180.91
31.57.106.35,31.57.106.35,443,2.67,FI,ARN,172.13,218.1
188.130.206.93,188.130.206.93,443,2.58,FI,ARN,169.85,188.52
87.121.105.160,87.121.105.160,443,2.57,FI,TLL,192.92,206.2
31.59.106.15,31.59.106.15,443,2.56,FI,ARN,164.47,196.91
2.56.173.3,2.56.173.3,443,2.54,FI,ARN,192.77,216.57
31.57.106.178,31.57.106.178,443,2.52,FI,ARN,168.68,187.44
45.91.193.118,45.91.193.118,443,2.49,FI,ARN,173.82,200.16
82.25.185.46,82.25.185.46,443,2.49,FI,HEL,179.26,230.07
193.124.183.92,193.124.183.92,443,2.48,FI,RIX,170.77,189.82
193.164.155.76,193.164.155.76,443,2.47,FI,ARN,170.09,210.43
185.92.183.217,185.92.183.217,443,2.46,FI,ARN,179.48,217.64
31.57.27.98,31.57.27.98,443,2.46,FI,ARN,176.43,218.63
46.8.232.48,46.8.232.48,443,2.4,FI,ARN,173.2,258.37
89.44.76.128,89.44.76.128,443,2.39,FI,ARN,168.95,380.76
65.21.159.37,65.21.159.37,443,2.36,FI,HEL,183.76,193.29
202.71.12.226,202.71.12.226,443,2.33,FI,ARN,178.28,333.17
192.145.29.16,192.145.29.16,443,2.31,FI,ARN,177.72,195.1
193.164.155.38,193.164.155.38,443,2.25,FI,ARN,179.44,225.08
43.245.225.176,43.245.225.176,8443,2.23,FI,HEL,184.7,254.33
188.130.206.93,188.130.206.93,2053,2.22,FI,ARN,179.97,214.85
45.38.170.171,45.38.170.171,443,2.22,FI,ARN,186.55,231.4
31.57.92.125,31.57.92.125,443,2.22,FI,ARN,176.8,200.58
31.57.105.140,31.57.105.140,443,2.2,FI,ARN,168.61,200.94
217.177.44.252,217.177.44.252,443,2.19,FI,ARN,173.41,390.81
87.239.251.254,87.239.251.254,443,2.16,FI,ARN,167.15,189.71
217.179.49.217,217.179.49.217,443,2.15,FI,ARN,172.98,254.35
109.206.236.56,109.206.236.56,443,2.14,FI,ARN,167.75,197.07
65.109.182.62,65.109.182.62,443,2.14,FI,FRA,183.29,236.67
46.8.232.233,46.8.232.233,443,2.13,FI,ARN,166.89,184.39
104.252.127.58,104.252.127.58,443,2.12,FI,ARN,176.21,199.58
95.182.115.237,95.182.115.237,443,2.11,FI,ARN,169.0,187.57
43.245.225.176,43.245.225.176,443,2.11,FI,ARN,191.26,253.03
31.13.208.213,31.13.208.213,443,2.08,FI,ARN,184.85,228.81
95.164.55.74,95.164.55.74,8443,2.07,FI,HEL,176.86,186.4
138.124.15.220,138.124.15.220,443,2.06,FI,ARN,178.97,228.26
31.57.105.164,31.57.105.164,443,2.01,FI,ARN,179.46,213.66
89.167.77.55,89.167.77.55,443,2.01,FI,HEL,183.51,196.6
45.67.202.36,45.67.202.36,443,2.01,FI,ARN,182.78,222.06
188.215.31.191,188.215.31.191,443,2.0,FI,ARN,174.31,203.82
212.192.212.100,212.192.212.100,443,2.0,FI,ARN,186.95,229.33
45.67.202.173,45.67.202.173,443,1.99,FI,ARN,178.3,241.8
91.217.76.192,91.217.76.192,443,1.99,FI,HEL,168.21,191.98
109.120.133.252,109.120.133.252,443,1.99,FI,ARN,194.92,255.18
193.35.17.55,193.35.17.55,443,1.99,FI,ARN,259.59,245.07
138.124.80.249,138.124.80.249,443,1.98,FI,ARN,169.76,199.12
46.62.192.61,46.62.192.61,443,1.98,FI,FRA,184.73,234.0
104.164.54.81,104.164.54.81,443,1.97,FI,ARN,172.13,204.47
217.60.60.38,217.60.60.38,443,1.97,FI,ARN,168.83,227.9
65.109.196.96,65.109.196.96,443,1.96,FI,FRA,185.04,245.31
87.239.250.189,87.239.250.189,443,1.95,FI,HEL,172.06,209.79
212.237.219.37,212.237.219.37,443,1.94,FI,HEL,177.93,212.54
65.109.182.62,65.109.182.62,8443,1.94,FI,FRA,183.32,240.94
31.57.61.252,31.57.61.252,443,1.93,FI,ARN,168.97,200.75
95.217.13.36,95.217.13.36,443,1.92,FI,HEL,205.36,225.72
150.251.152.227,150.251.152.227,443,1.87,FI,HEL,183.15,192.7
193.109.84.39,193.109.84.39,443,1.87,FI,RIX,176.51,388.41
193.168.198.220,193.168.198.220,443,1.87,FI,RIX,176.18,200.88
31.57.92.60,31.57.92.60,443,1.86,FI,ARN,166.81,187.9
66.151.34.215,66.151.34.215,443,1.86,FI,ARN,171.26,199.91
46.8.238.24,46.8.238.24,443,1.83,FI,ARN,170.25,217.22
185.228.232.247,185.228.232.246,443,1.83,FI,ARN,172.75,192.92
84.19.3.83,84.19.3.83,443,1.81,FI,ARN,171.15,185.84
31.56.227.231,31.56.227.231,443,1.8,FI,ARN,168.56,201.17
31.57.105.139,31.57.105.139,443,1.79,FI,ARN,171.66,202.64
92.118.233.25,92.118.233.25,443,1.79,FI,ARN,176.9,202.4
87.121.89.13,87.121.89.13,443,1.79,FI,ARN,174.16,202.09
185.242.247.80,185.242.247.80,443,1.79,FI,HEL,172.29,191.55
45.144.53.184,45.144.53.184,443,1.77,FI,HEL,187.86,225.1
46.8.64.53,46.8.64.53,443,1.73,FI,ARN,175.25,203.49
31.56.177.194,31.56.177.194,443,1.73,FI,ARN,169.72,197.93
185.94.167.223,185.94.167.223,443,1.72,FI,RIX,171.42,190.22
65.109.200.234,65.109.200.234,8443,1.72,FI,FRA,174.82,231.85
31.56.204.194,31.56.204.194,443,1.71,FI,ARN,175.86,192.26
109.172.54.73,109.172.54.73,443,1.71,FI,ARN,171.65,195.59
65.109.200.234,65.109.200.234,443,1.71,FI,FRA,177.24,230.04
94.183.190.163,94.183.190.163,443,1.69,FI,ARN,176.27,195.76
66.151.35.248,66.151.35.248,443,1.68,FI,ARN,177.67,211.38
87.121.105.12,87.121.105.12,443,1.68,FI,TLL,197.69,196.13
217.19.4.242,217.19.4.242,443,1.67,FI,ARN,173.5,192.05
65.109.196.96,65.109.196.96,8443,1.67,FI,FRA,181.2,238.64
31.57.106.126,31.57.106.126,443,1.66,FI,ARN,174.93,202.59
195.96.156.92,195.96.156.92,443,1.66,FI,ARN,177.16,387.07
87.121.89.99,87.121.89.99,443,1.66,FI,TLL,177.61,207.82
66.151.34.215,66.151.34.215,8443,1.66,FI,ARN,170.17,231.53
135.181.95.131,135.181.95.131,443,1.65,FI,FRA,179.29,225.47
78.153.139.207,78.153.139.207,443,1.65,FI,ARN,168.66,196.47
2.26.0.209,2.26.0.209,443,1.64,FI,TLL,183.39,202.42
91.108.241.101,91.108.241.101,443,1.63,FI,ARN,182.75,219.51
45.14.165.234,45.14.165.234,443,1.63,FI,ARN,177.34,206.89
194.180.189.194,194.180.189.194,443,1.63,FI,WAW,194.5,256.0
217.60.62.9,217.60.62.9,443,1.62,FI,ARN,177.96,200.62
141.105.143.37,141.105.143.37,443,1.62,FI,ARN,186.12,319.32
95.81.126.109,95.81.126.109,443,1.62,FI,ARN,172.3,193.55
46.38.156.183,46.38.156.183,443,1.61,FI,ARN,174.15,360.97
82.40.57.236,82.40.57.236,443,1.59,FI,HEL,173.32,198.29
65.108.245.196,65.108.245.196,443,1.58,FI,ARN,192.84,203.11
135.181.95.131,135.181.95.131,8443,1.57,FI,FRA,184.32,247.27
94.237.116.111,94.237.116.111,443,1.57,FI,HEL,192.54,196.79
38.244.139.135,38.244.139.135,443,1.56,FI,ARN,162.08,234.12
213.165.59.61,213.165.59.61,443,1.55,FI,ARN,177.49,204.54
89.35.119.210,89.35.119.210,443,1.54,FI,ARN,177.13,218.58
65.109.188.1,65.109.188.1,8443,1.52,FI,FRA,180.83,232.71
185.17.2.161,185.17.2.161,443,1.51,FI,ARN,173.48,381.51
89.125.92.172,2.57.243.22,443,1.51,FI,ARN,196.02,216.1
31.56.205.135,31.56.205.135,443,1.5,FI,ARN,175.94,211.95
217.177.44.117,217.177.44.117,443,1.5,FI,ARN,172.79,383.41
185.141.217.204,185.141.217.204,443,1.49,FI,ARN,169.87,184.38
65.109.213.219,65.109.213.219,443,1.49,FI,FRA,187.19,236.34
217.60.62.18,217.60.62.18,443,1.48,FI,ARN,166.99,195.73
104.128.131.94,104.128.131.94,443,1.48,FI,ARN,178.04,183.79
37.27.92.255,37.27.92.255,8443,1.48,FI,FRA,186.79,231.67
43.245.225.23,43.245.225.23,8443,1.47,FI,ARN,246.68,317.97
188.130.206.87,188.130.206.87,443,1.47,FI,ARN,169.73,186.28
31.56.205.135,31.56.205.135,8443,1.47,FI,ARN,174.16,215.55
89.125.57.253,89.125.57.253,443,1.46,FI,TLL,165.4,357.28
193.164.155.48,193.164.155.48,443,1.45,FI,ARN,169.52,199.44
95.164.55.74,95.164.55.74,443,1.45,FI,HEL,185.11,194.79
89.125.3.104,89.125.3.104,443,1.45,FI,ARN,177.86,261.12
65.109.213.219,65.109.213.219,8443,1.45,FI,FRA,185.51,232.42
91.204.74.232,91.204.74.232,443,1.43,FI,ARN,179.37,395.15
151.241.229.124,151.241.229.124,443,1.42,FI,ARN,183.25,238.55
31.57.62.124,31.57.62.124,443,1.41,FI,ARN,165.37,197.49
31.59.41.159,31.59.41.159,443,1.4,FI,ARN,165.13,181.42
95.217.237.91,95.217.237.91,443,1.38,FI,HEL,179.43,189.8
185.193.102.119,185.193.102.119,443,1.38,FI,ARN,188.84,212.67
45.38.143.195,45.38.143.195,443,1.37,FI,ARN,174.91,206.1
193.23.201.26,193.23.201.26,443,1.37,FI,TLL,185.76,196.51
91.211.114.208,91.211.114.208,443,1.37,FI,TLL,188.83,208.92
185.212.149.7,185.212.149.7,443,1.36,FI,TLL,165.7,187.73
109.206.236.211,109.206.236.211,443,1.35,FI,ARN,172.98,195.73
92.42.102.109,92.42.102.109,8443,1.34,FI,HEL,174.24,192.55
194.34.236.45,194.34.236.45,443,1.33,FI,ARN,179.45,188.71
31.58.137.196,31.58.137.196,443,1.32,FI,ARN,171.47,207.4
43.245.225.23,43.245.225.23,443,1.32,FI,ARN,188.22,221.77
45.12.151.185,45.12.151.185,443,1.32,FI,HEL,176.22,207.41
185.231.206.61,185.231.206.61,443,1.3,FI,ARN,177.89,242.54
185.112.82.28,185.112.82.28,443,1.3,FI,ARN,196.2,193.85
103.85.114.197,103.85.114.197,443,1.28,FI,ARN,176.64,397.88
95.216.57.173,95.216.57.173,443,1.27,FI,HEL,181.8,186.64
46.243.6.54,46.243.6.54,443,1.26,FI,HEL,180.12,202.72
138.124.80.223,138.124.80.223,443,1.24,FI,HEL,169.78,205.12
138.124.80.249,138.124.80.249,8443,1.24,FI,HEL,174.87,200.62
95.182.99.65,95.182.99.65,443,1.23,FI,ARN,172.88,192.48
93.152.207.154,93.152.207.154,443,1.23,FI,WAW,178.11,201.64
45.144.52.100,45.144.52.100,443,1.21,FI,TLL,178.17,222.71
95.216.57.173,95.216.57.173,8443,1.21,FI,HEL,185.29,192.1
46.8.228.165,46.8.228.165,443,1.17,FI,ARN,173.48,189.5
144.31.212.58,144.31.212.58,443,1.15,FI,TLL,180.85,235.94
109.248.163.191,109.248.163.191,443,1.15,FI,ARN,186.02,203.55
92.42.102.109,92.42.102.109,443,1.14,FI,HEL,176.85,188.71
37.27.92.255,37.27.92.255,443,1.13,FI,FRA,180.36,237.6
94.159.114.163,94.159.114.163,443,1.12,FI,ARN,170.79,203.78
2.27.42.167,2.27.42.167,443,1.11,FI,ARN,181.87,193.27
138.124.244.95,138.124.244.95,443,1.11,FI,TLL,181.85,221.3
65.21.62.180,65.21.62.180,443,1.1,FI,ARN,181.28,203.61
185.233.82.159,185.233.82.159,443,1.09,FI,HEL,174.44,194.59
66.151.35.81,66.151.35.81,443,1.08,FI,WAW,171.65,235.14
91.149.219.49,91.149.219.49,443,1.08,FI,ARN,190.66,205.98
89.125.81.129,89.125.81.129,443,1.06,FI,TLL,175.72,393.82
65.21.16.187,65.21.225.15,443,1.05,FI,WAW,187.57,266.58
46.8.64.232,46.8.64.232,443,1.03,FI,ARN,166.96,204.61
109.120.157.29,109.120.157.29,443,1.03,FI,MXP,188.25,288.86
62.60.250.39,62.60.250.39,443,1.03,FI,MXP,186.42,278.53
193.68.88.242,193.68.88.242,443,1.02,FI,ARN,171.46,190.3
65.21.224.102,65.21.224.102,443,1.02,FI,FRA,185.81,231.3
147.90.26.51,23.168.88.97,443,3.73,FR,CDG,156.12,196.91
94.131.118.92,94.131.118.92,443,3.41,FR,CDG,149.64,238.56
147.90.26.68,23.168.88.192,443,3.24,FR,CDG,146.4,165.63
51.91.253.218,51.91.253.218,8443,3.18,FR,CDG,174.21,212.31
147.90.26.37,23.168.88.31,443,3.15,FR,CDG,158.98,244.32
147.90.26.85,23.168.88.43,443,3.1,FR,CDG,146.57,154.8
147.90.26.52,23.168.88.217,443,3.08,FR,CDG,171.75,160.61
147.90.26.84,23.168.88.239,443,3.08,FR,CDG,147.48,166.64
194.146.12.230,194.146.12.230,443,3.08,FR,FRA,180.94,235.75
51.91.253.60,51.91.253.60,8443,3.02,FR,CDG,299.31,180.15
185.10.17.137,185.10.17.137,443,2.99,FR,CDG,152.59,158.99
147.90.26.61,23.168.88.111,443,2.96,FR,CDG,163.99,186.46
51.91.250.152,51.91.250.152,8443,2.94,FR,CDG,151.22,168.81
51.91.254.100,51.91.254.100,8443,2.93,FR,CDG,151.57,171.66
51.178.29.175,51.178.29.175,443,2.92,FR,CDG,151.91,175.59
51.91.251.198,51.91.251.198,8443,2.9,FR,CDG,154.5,175.31
147.90.26.77,23.168.88.81,443,2.88,FR,CDG,152.06,166.3
147.90.26.80,23.168.88.185,443,2.87,FR,CDG,146.76,154.39
51.91.253.60,51.91.253.60,443,2.87,FR,CDG,191.11,250.57
54.37.39.40,54.37.39.40,443,2.87,FR,CDG,151.94,173.01
152.228.216.172,152.228.216.172,443,2.86,FR,CDG,153.97,174.29
37.59.97.140,37.59.97.140,8443,2.85,FR,CDG,177.71,177.09
37.59.125.113,37.59.125.113,8443,2.84,FR,CDG,151.38,173.76
147.90.26.81,23.168.88.89,443,2.83,FR,CDG,175.05,162.7
82.70.232.70,82.70.232.70,443,2.82,FR,MRS,160.14,265.52
147.90.26.43,23.168.88.59,443,2.82,FR,CDG,151.48,252.19
51.91.255.5,51.91.255.5,8443,2.81,FR,CDG,160.77,167.68
51.91.251.37,51.91.251.37,443,2.79,FR,CDG,177.33,193.65
62.133.62.66,62.133.62.66,443,2.78,FR,CDG,163.08,155.59
51.178.29.175,51.178.29.175,8443,2.76,FR,CDG,153.13,177.4
51.91.250.152,51.91.250.152,443,2.75,FR,CDG,153.32,168.13
84.247.166.22,84.247.166.22,443,2.75,FR,FRA,151.49,173.79
147.90.26.64,23.168.88.155,443,2.74,FR,CDG,148.46,155.98
37.59.97.136,37.59.97.136,443,2.74,FR,CDG,150.89,179.64
51.91.248.61,51.91.248.61,8443,2.71,FR,CDG,154.67,171.23
149.33.1.252,149.33.1.252,443,2.7,FR,CDG,149.11,161.0
51.91.253.57,51.91.253.57,443,2.69,FR,CDG,169.04,181.46
147.90.26.71,23.168.88.130,443,2.66,FR,CDG,152.76,188.72
51.91.248.99,51.91.248.99,443,2.62,FR,CDG,159.08,173.9
141.94.78.246,141.94.78.246,8443,2.58,FR,CDG,157.04,192.04
51.91.255.5,51.91.255.5,443,2.56,FR,CDG,159.09,182.67
51.91.253.57,51.91.253.57,8443,2.55,FR,CDG,159.08,221.92
37.59.97.135,37.59.97.135,8443,2.53,FR,CDG,155.95,174.54
51.91.249.29,51.91.249.29,8443,2.48,FR,CDG,156.05,170.49
51.91.252.193,51.91.252.193,443,2.48,FR,CDG,160.15,168.98
147.90.26.49,23.168.88.241,443,2.48,FR,CDG,149.82,165.32
38.180.240.91,38.180.240.91,443,2.47,FR,CDG,153.6,165.43
51.91.250.33,51.91.250.33,443,2.46,FR,CDG,152.23,179.5
37.59.125.113,37.59.125.113,443,2.42,FR,CDG,158.3,187.6
51.91.249.154,51.91.249.154,443,2.41,FR,CDG,164.46,184.23
51.91.254.50,51.91.254.50,8443,2.41,FR,CDG,164.21,180.93
151.244.132.39,23.168.88.223,443,2.4,FR,CDG,150.08,158.76
51.91.251.37,51.91.251.37,8443,2.39,FR,CDG,169.07,182.16
51.91.249.154,51.91.249.154,8443,2.38,FR,CDG,154.89,171.15
51.91.251.198,51.91.251.198,443,2.36,FR,CDG,152.83,174.44
141.94.78.246,141.94.78.246,443,2.36,FR,CDG,164.46,179.66
51.91.254.111,51.91.254.111,443,2.35,FR,CDG,166.32,191.97
147.90.26.63,23.168.88.125,443,2.34,FR,CDG,150.6,161.33
51.91.250.183,51.91.250.183,8443,2.32,FR,CDG,156.75,174.52
51.91.249.209,51.91.249.209,443,2.32,FR,CDG,161.39,183.4
51.178.141.191,51.178.141.191,8443,2.32,FR,CDG,154.95,184.38
51.91.250.33,51.91.250.33,8443,2.31,FR,CDG,159.13,179.93
51.91.254.111,51.91.254.111,8443,2.28,FR,CDG,195.87,178.06
37.59.97.140,37.59.97.140,443,2.28,FR,CDG,170.99,184.48
51.91.254.22,51.91.254.22,8443,2.26,FR,CDG,158.23,173.06
37.59.96.21,37.59.96.21,8443,2.25,FR,CDG,155.4,173.66
51.91.251.160,51.91.251.160,8443,2.25,FR,CDG,151.31,165.0
51.91.250.245,51.91.250.245,8443,2.24,FR,CDG,162.73,172.58
37.59.97.136,37.59.97.136,8443,2.24,FR,CDG,157.76,181.73
51.178.141.191,51.178.141.191,443,2.22,FR,CDG,158.0,189.09
51.91.249.209,51.91.249.209,8443,2.21,FR,CDG,164.51,219.92
51.91.252.193,51.91.252.193,8443,2.21,FR,CDG,156.5,169.92
185.236.23.26,185.236.23.26,443,2.21,FR,CDG,154.89,169.78
147.90.26.20,23.168.88.178,443,2.2,FR,CDG,148.1,156.04
51.91.250.92,51.91.250.92,8443,2.2,FR,CDG,152.75,169.4
51.91.249.37,51.91.249.37,8443,2.2,FR,CDG,159.62,164.15
51.91.248.218,51.91.248.218,443,2.19,FR,CDG,158.21,176.14
51.91.250.92,51.91.250.92,443,2.18,FR,CDG,161.15,179.33
51.91.248.99,51.91.248.99,8443,2.18,FR,CDG,149.64,165.76
51.91.255.97,51.91.255.97,8443,2.18,FR,CDG,157.67,176.65
51.91.250.183,51.91.250.183,443,2.17,FR,CDG,162.79,180.57
51.91.248.38,51.91.248.38,8443,2.17,FR,CDG,159.26,163.88
138.124.70.157,138.124.70.157,443,2.16,FR,CDG,149.77,181.02
51.91.254.177,51.91.254.177,443,2.16,FR,CDG,153.23,169.82
147.90.26.50,23.168.88.149,443,2.14,FR,CDG,147.54,162.25
194.116.217.20,194.116.217.20,443,2.13,FR,CDG,149.3,181.42
152.228.191.232,152.228.191.1,443,2.13,FR,AMS,166.36,163.41
51.91.252.213,51.91.252.213,443,2.12,FR,CDG,167.18,289.97
158.178.215.52,158.178.215.52,443,2.12,FR,CDG,164.26,174.81
51.91.255.152,51.91.255.152,8443,2.12,FR,CDG,166.47,162.6
51.91.248.61,51.91.248.61,443,2.11,FR,CDG,158.41,170.47
51.91.252.213,51.91.252.213,8443,2.09,FR,CDG,154.97,261.15
51.178.27.222,51.178.27.222,8443,2.09,FR,CDG,154.77,168.35
51.91.254.22,51.91.254.22,443,2.08,FR,CDG,151.64,169.57
51.91.253.83,51.91.253.83,8443,2.06,FR,CDG,153.39,170.74
51.91.250.245,51.91.250.245,443,2.03,FR,CDG,166.08,183.33
51.91.251.144,51.91.251.144,8443,2.03,FR,CDG,155.32,164.01
51.91.254.177,51.91.254.177,8443,2.01,FR,CDG,153.09,167.47
51.91.251.160,51.91.251.160,443,2.0,FR,CDG,159.77,182.14
51.91.249.9,51.91.249.9,443,2.0,FR,CDG,149.94,166.79
51.91.252.174,51.91.252.174,443,1.99,FR,CDG,149.12,173.36
138.124.31.203,138.124.31.203,443,1.99,FR,CDG,162.51,158.99
147.90.26.41,23.168.88.35,443,1.99,FR,CDG,148.78,155.66
51.91.250.21,51.91.250.21,8443,1.99,FR,CDG,153.11,170.01
51.91.254.100,51.91.254.100,443,1.98,FR,CDG,160.07,191.68
37.59.96.47,37.59.96.47,8443,1.98,FR,CDG,154.38,166.61
51.91.251.153,51.91.251.153,8443,1.97,FR,CDG,162.72,190.97
152.228.135.5,152.228.135.5,443,1.96,FR,FRA,164.57,182.15
51.91.253.174,51.91.253.174,8443,1.95,FR,CDG,157.21,169.98
51.91.254.189,51.91.254.189,8443,1.94,FR,CDG,159.18,183.08
31.56.176.44,31.56.176.44,443,1.94,FR,CDG,153.39,188.25
51.91.255.152,51.91.255.152,443,1.9,FR,CDG,174.88,163.99
152.228.217.69,152.228.217.69,443,1.89,FR,CDG,155.61,171.55
37.59.96.48,37.59.96.48,443,1.88,FR,CDG,159.45,165.35
152.228.216.146,152.228.216.146,8443,1.87,FR,CDG,155.0,164.18
51.91.253.218,51.91.253.218,443,1.87,FR,CDG,164.54,275.11
51.91.253.230,51.91.253.230,8443,1.87,FR,CDG,159.68,180.69
147.90.26.15,23.168.88.141,443,1.87,FR,CDG,146.84,163.33
51.91.249.115,51.91.249.115,443,1.86,FR,CDG,155.9,168.07
51.91.249.223,51.91.249.223,8443,1.86,FR,CDG,153.63,163.81
162.19.27.52,162.19.27.52,443,1.86,FR,CDG,156.4,175.83
51.91.254.189,51.91.254.189,443,1.85,FR,CDG,152.95,169.2
51.91.248.38,51.91.248.38,443,1.85,FR,CDG,152.95,169.52
51.91.248.218,51.91.248.218,8443,1.84,FR,CDG,157.73,174.27
37.59.97.135,37.59.97.135,443,1.83,FR,CDG,161.19,175.28
51.178.137.248,51.178.137.248,8443,1.83,FR,CDG,153.08,167.09
37.59.96.47,37.59.96.47,443,1.83,FR,CDG,157.02,170.34
51.91.251.87,51.91.251.87,443,1.83,FR,CDG,153.91,169.74
51.91.250.21,51.91.250.21,443,1.83,FR,CDG,154.57,183.51
51.178.27.222,51.178.27.222,443,1.82,FR,CDG,153.71,169.92
51.91.253.62,51.91.253.62,443,1.81,FR,CDG,158.46,174.3
51.91.255.97,51.91.255.97,443,1.81,FR,CDG,158.99,173.62
51.91.254.50,51.91.254.50,443,1.81,FR,CDG,157.82,178.61
51.91.251.153,51.91.251.153,443,1.8,FR,CDG,157.42,176.07
152.228.216.172,152.228.216.172,8443,1.79,FR,CDG,164.85,188.84
217.60.37.34,217.60.37.34,443,1.79,FR,CDG,155.97,173.83
144.24.200.164,144.24.200.164,443,1.77,FR,MRS,158.92,166.61
152.228.135.5,152.228.135.5,8443,1.76,FR,FRA,164.93,181.2
51.91.254.173,51.91.254.173,443,1.76,FR,CDG,154.8,172.46
141.94.220.210,141.94.220.210,443,1.75,FR,CDG,156.16,178.03
51.91.252.200,51.91.252.200,8443,1.75,FR,CDG,148.8,170.25
173.212.224.25,173.212.224.25,443,1.75,FR,FRA,164.26,171.2
51.91.251.16,51.91.251.16,443,1.75,FR,CDG,152.88,168.31
37.59.96.23,37.59.96.23,443,1.72,FR,CDG,156.67,169.62
51.91.251.43,51.91.251.43,8443,1.72,FR,CDG,155.14,168.42
185.10.19.237,185.10.19.237,443,1.72,FR,CDG,145.97,152.98
51.91.249.126,51.91.249.126,8443,1.71,FR,CDG,159.47,177.96
51.91.254.158,51.91.254.158,443,1.71,FR,CDG,172.43,164.44
147.90.26.29,23.168.88.247,443,1.71,FR,CDG,152.76,157.97
